SITE,KEY,REL_LAT
BjFr-4,17,0.0282308481
BjFr-5,16,0.0277984075
BjFs-10,13,0.0039483704
BjFs-12,7,0.0024254275
BjFs-13,10,0.0032997095
BjFs-17,2,0.0005123481
BjFs-21,8,0.0025758416
BjFs-22,11,0.003497128
BjFs-23,6,0.0023784231
BjFs-4,5,0.0015511455
BjFs-5,3,0.0008225772
BjFs-6,4,0.0014007314
BjFs-7,1,0
BjFs-8,14,0.0068861459
BjFs-9,15,0.0100777453
BjFs-e,9,0.0028923249
BjFs-f,12,0.0036736937
CbFv-1,18,0.3722309503
CcFr-1,29,0.4573481993
CcFr-2,24,0.4423678941
CcFr-3,23,0.4314487699
CcFr-4,28,0.4572008378
CcFr-5,27,0.449858207
CcFr-6,26,0.4495904579
CcFr-7,25,0.4491991645
CcFr-8,30,0.4579936527
CcFs-2,22,0.4066473538
CcFs-5,20,0.3982829206
CcFv-1,19,0.397718529
CcFv-3,21,0.4004836488
CfFp-10,33,0.6908049975
CfFq-1,32,0.6840316622
CfFq-5,34,0.6928543897
CfFq-6,35,0.695021293
CfFq-9,31,0.6818788602
CgFs-3,36,0.7858291108
ChFp-1,37,0.9044588382
ChFp-4,38,0.905511737
CiFp-12,49,0.957686631
CiFp-20,54,0.9594868999
CiFp-23,50,0.9583023888
CiFp-25,45,0.9312701531
CiFp-27a,48,0.9533669258
CiFp-27b,47,0.9532259126
CiFp-28,41,0.9227059498
CiFp-40,63,0.9718819625
CiFp-41,64,0.9723191035
CiFp-47,51,0.9585750143
CiFp-49,55,0.9599052391
CiFp-5,40,0.9217893638
CiFp-50,46,0.9335968714
CiFp-51,62,0.9700017862
CiFp-55,53,0.9591531686
CiFp-57,65,0.9744954077
CiFp-58,61,0.9694236319
CiFp-63,52,0.9587489306
CiFp-64,59,0.9670828124
CiFp-65,44,0.9299352279
CiFp-66,60,0.9675669578
CiFp-69,56,0.9623729706
CiFp-71,57,0.9641168342
CiFq-9,58,0.9655410678
CiFs-22,39,0.9190208042
CiFs-7,42,0.9230866855
CiFs-9,43,0.9230866855
CjFo-1,66,1
